To_be_vote,first_priority,second_priority,third_priority,capable_to_handing_protest,Others_as_candidate,president_in_perspective,expectation,Executive_system,promisses_followed,born_year,district,ethnic_group,gender
Yes,Sajith Premadasa,M.K. Sivajalingam,M.L.A.M. Hisbullah,Sajith Premadasa,Yes Kumar Sangakara,Sajith Premadasa,Equality among ethnic group,Abolish the executive president position,No,1991,Jaffna,Tamils,Female
Yes,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Sajith Premadasa,Yes. Kumar Sangakara,Sajith Premadasa,Equality,Need an executive president,No,1992,Jaffna,Tamils,Female
Yes,Subramanium Gunaratnam,Ajantha Perera,Anura Kumara Dissanayake,Subramanium Gunaratnam,,Subramanium Gunaratnam,Independent country,Need an executive president,No,1991,Colombo,Tamils,Male
Yes,Anura Kumara Dissanayake,Sajith Premadasa,,Anura Kumara Dissanayake,,Sajith Premadasa,,,,1986,Jaffna,Tamils,Male
Yes,Sajith Premadasa,,,Sajith Premadasa,Karu Jeyasooriya,Sajith Premadasa,Should be solve the poorverty,Abolish the executive president position,No,1987,Jaffna,Tamils,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,Ajantha Perera,,,Sajith Premadasa,,Need an executive president,Yes,,,,
Yes,Sajith Premadasa,,,Anura Kumara Dissanayake,Nanthahoban,Gotabhaya Rajapakse,Good governance,Abolish the executive president position,No,1990,Vavuniya,Tamils,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,Ariyawansha Dissanayake,,Kumar sankakara ,Sajith Premadasa,We know about  yours so I not expect anymore ,Need an executive president,No,1993,Jaffna,Tamils,Male
Yes,Sajith Premadasa,Anura Kumara Dissanayake,M.K. Sivajalingam,Sajith Premadasa,No,Sajith Premadasa,Better government,Abolish the executive president position,No,1991,Batticaloa,Tamils,Male
Yes,Sajith Premadasa,Anura Kumara Dissanayake,Rohan Pallewatte,Anura Kumara Dissanayake,,Sajith Premadasa,Nothing,Abolish the executive president position,No,1990,Colombo,Tamils,Male
Yes,Gotabhaya Rajapakse,Mahesh Senanayake,Anura Kumara Dissanayake,,Me,Gotabhaya Rajapakse,Do some really good project which brings advantage to people ,Need an executive president,No,1991,Kalutara,Sinhalese,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,Subramanium Gunaratnam,Sajith Premadasa,No,Sajith Premadasa,Something new,Abolish the executive president position,No,1991,Jaffna,Tamils,Male
Yes,Anura Kumara Dissanayake,Sajith Premadasa,M.K. Sivajalingam,Anura Kumara Dissanayake,,Sajith Premadasa,Development ,Need an executive president,No,1991,Batticaloa,Tamils,Male
No,A.S.P. Liyanage,A.S.P. Liyanage,A.S.P. Liyanage,A.S.P. Liyanage,,OA.S.P. Liyanage,,Need an executive president,No,1991,Jaffna,Tamils,Male
Yes,Sarath Manamendra,Anura Kumara Dissanayake,Gotabhaya Rajapakse,Anura Kumara Dissanayake,Kumar sangakara,Sarath Manamendra,Peaceful country ,Abolish the executive president position,No,1997,Batticaloa,Tamils,Female
Yes,Sajith Premadasa,Siripala Amarasinghe,M.K. Sivajalingam,Rajeewa Wijesinghe,,Sajith Premadasa,Peace,Need an executive president,No,1194,Jaffna,Tamils,Male
Yes,Sajith Premadasa,M.K. Sivajalingam,A.S.P. Liyanage,Aparekke Punnananda Thero,,Ariyawansha Dissanayake,,Need an executive president,No,1996,Jaffna,Tamils,Male
No,Sajith Premadasa,M.K. Sivajalingam,Anura Kumara Dissanayake,Saman Prasanna Perera,Nope,Sajith Premadasa,Abolish President powers,Abolish the executive president position,No,1991,Jaffna,Tamils,Male
